call_metric,geographic_zone,activity_category,high_call_threshold,category_hours,environmental_variable,units,n_available,median,q25,q75
Fin 20 Hz,Central California,no_call,11,321,npp_lag_30d,mg_C_m-2_d-1,186,465.4289856,416.47618865000004,549.184021
Fin 20 Hz,Central California,no_call,11,321,npp_lag_60d,mg_C_m-2_d-1,58,649.95513915,602.612793,685.1824951
Fin 20 Hz,Central California,no_call,11,321,npp_lag_90d,mg_C_m-2_d-1,37,592.0376587,578.0977173,713.3989258
Fin 20 Hz,Central California,no_call,11,321,npp_lag_120d,mg_C_m-2_d-1,93,733.5574341,607.0196533,859.7487793
Fin 20 Hz,Southern California,high_call,15,357,gebco_bathymetry_m,m,357,-2223,-3625,-800
Fin 20 Hz,Southern California,high_call,15,357,sst_c,deg_C,357,15.453,15.112,16.037
Fin 20 Hz,Southern California,high_call,15,357,chlorophyll_a,mg_m-3,137,0.532816529,0.387193263,0.603809714
Fin 20 Hz,Southern California,high_call,15,357,phytoplankton_carbon,mg_m-3,137,20.69981384,18.07842255,28.23990631
Fin 20 Hz,Southern California,high_call,15,357,poc,mg_m-3,137,123,97.60009766,134.199707
Fin 20 Hz,Southern California,high_call,15,357,npp_concurrent,mg_C_m-2_d-1,121,579.1367798,478.5682373,714.1428833
Fin 20 Hz,Southern California,high_call,15,357,npp_lag_30d,mg_C_m-2_d-1,184,606.2317505,496.3655396,662.9018555
Fin 20 Hz,Southern California,high_call,15,357,npp_lag_60d,mg_C_m-2_d-1,86,702.3421631,385.9753113,821.1548462
Fin 20 Hz,Southern California,high_call,15,357,npp_lag_90d,mg_C_m-2_d-1,129,716.9094849,672.3637695,979.9468384
Fin 20 Hz,Southern California,high_call,15,357,npp_lag_120d,mg_C_m-2_d-1,29,674.2318726,661.5723267,764.8795166
Fin 20 Hz,Southern California,low_call,15,730,gebco_bathymetry_m,m,730,-3834,-4072.75,-3584.25
Fin 20 Hz,Southern California,low_call,15,730,sst_c,deg_C,730,15.58,15.143,16.215
Fin 20 Hz,Southern California,low_call,15,730,chlorophyll_a,mg_m-3,355,0.386594176,0.333866984,0.41435799
Fin 20 Hz,Southern California,low_call,15,730,phytoplankton_carbon,mg_m-3,355,19.21257591,17.62073517,21.45196915
Fin 20 Hz,Southern California,low_call,15,730,poc,mg_m-3,355,98.79980469,88.79980469,103
Fin 20 Hz,Southern California,low_call,15,730,npp_concurrent,mg_C_m-2_d-1,349,534.8165283,455.993866,624.767395
Fin 20 Hz,Southern California,low_call,15,730,npp_lag_30d,mg_C_m-2_d-1,369,606.2317505,486.0192871,747.6055908
